Strategy	mult	num in portfolio	Insrument	Time	Price	Amount	Type	Source	Comment	
LEO_NQ_4	2	2	NQ	6/5/2024 10:36	18924.25	-1	Open	User	take long	
LEO_NQ_4	2	2	NQ	6/5/2024 15:36	19037.25	-1	Close	User		
MER1_no_YM_NQ	1	5								
TV_QUBE	20	1	NQ	6/5/2024 11:15	18959.75	1	Open			
TV_QUBE	20	1	NQ	6/6/2024 8:15	19092.25	-1	Close			
TV_VFBL_NQ30	2	4	NQ	6/5/2024 11:30	18965.75	1	Open			
TV_VFBL_NQ30	2	4	NQ	6/5/2024 18:15	19078	-1	Close			
TV_FISHREV_NQ60	2	4	NQ							
TV_VICMOD_NQ15	20	1	NQ	6/5/2024 10:45	18916.75	1	Open			
TV_VICMOD_NQ15	20	1	NQ	6/5/2024 18:15	19078	-1	Close			
TV_VICMOD_NQ30	20	1	NQ	6/5/2024 11:30	18965.75	1	Open			
TV_VICMOD_NQ30	20	1	NQ	6/5/2024 18:30	19076.75	-1	Close			
TV_ZSP_NQ15	2	2	NQ	6/5/2024 10:30	18892.75	1	Open			
TV_ZSP_NQ15	2	2	NQ	6/5/2024 18:15	19078	-1	Close			
TV_ES_GC_30	1	1								
TV_ES_6J_30	1	1	ES	6/4/2024 23:30	5313.25	2	Open			
TV_ES_6J_30	1	1	ES	6/6/2024 10:30	5364.25	-2	Close			
TV_ES_6J_30	1	1	6J	6/4/2024 23:30	0.006447	-6	Open			
TV_ES_6J_30	1	1	6J	6/6/2024 10:30	0.0064185	6	Close			
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
